data_captura,dt_captura,nome,link
2026-06-04,2026-06-04,AEGEA Saneamento e Participacoes S.A.,https://brazil.ratings.spglobal.com/ratings/pt/regulatory/org-details/sectorCode/UTIL/entityId/1001151
2026-06-04,2026-06-04,AZZAS 2154 S.A.,https://brazil.ratings.spglobal.com/ratings/pt/regulatory/org-details/sectorCode/CORP/entityId/1000569
2026-06-04,2026-06-04,Aco Verde do Brasil S.A.,https://brazil.ratings.spglobal.com/ratings/pt/regulatory/org-details/sectorCode/CORP/entityId/1000952
2026-06-04,2026-06-04,Acucareira Quata S.A.,https://brazil.ratings.spglobal.com/ratings/pt/regulatory/org-details/sectorCode/CORP/entityId/1001358
2026-06-04,2026-06-04,Adami S.A. Madeiras,https://brazil.ratings.spglobal.com/ratings/pt/regulatory/org-details/sectorCode/CORP/entityId/1001058
2026-06-04,2026-06-04,Adyen do Brasil Instituicao de Pagamento Ltda,https://brazil.ratings.spglobal.com/ratings/pt/regulatory/org-details/sectorCode/FI/entityId/1000337
2026-06-04,2026-06-04,Agro Industrias do Vale do Sao Francisco S.A.,https://brazil.ratings.spglobal.com/ratings/pt/regulatory/org-details/sectorCode/CORP/entityId/1000749
2026-06-04,2026-06-04,Agroterenas S.A. Administracao e Participacoes,https://brazil.ratings.spglobal.com/ratings/pt/regulatory/org-details/sectorCode/CORP/entityId/1000230
2026-06-04,2026-06-04,Aguas Guariroba S.A.,https://brazil.ratings.spglobal.com/ratings/pt/regulatory/org-details/sectorCode/UTIL/entityId/1001438
2026-06-04,2026-06-04,Aguas do Para A SPE S.A.,https://brazil.ratings.spglobal.com/ratings/pt/regulatory/org-details/sectorCode/UTIL/entityId/1000974
2026-06-04,2026-06-04,Aguas do Para B SPE S.A.,https://brazil.ratings.spglobal.com/ratings/pt/regulatory/org-details/sectorCode/UTIL/entityId/1000356
2026-06-04,2026-06-04,Aguas do Para D SPE S.A.,https://brazil.ratings.spglobal.com/ratings/pt/regulatory/org-details/sectorCode/UTIL/entityId/1000575
2026-06-04,2026-06-04,Aguas do Rio 1 SPE S.A.,https://brazil.ratings.spglobal.com/ratings/pt/regulatory/org-details/sectorCode/UTIL/entityId/1000314
2026-06-04,2026-06-04,Aguas do Rio 4 SPE S.A.,https://brazil.ratings.spglobal.com/ratings/pt/regulatory/org-details/sectorCode/UTIL/entityId/1000804
2026-06-04,2026-06-04,Akad Seguros S.A.,https://brazil.ratings.spglobal.com/ratings/pt/regulatory/org-details/sectorCode/INS/entityId/1000192
2026-06-04,2026-06-04,Alagoas (State of),https://brazil.ratings.spglobal.com/ratings/pt/regulatory/org-details/sectorCode/GOVS/entityId/1001322
2026-06-04,2026-06-04,Algar Telecom S/A,https://brazil.ratings.spglobal.com/ratings/pt/regulatory/org-details/sectorCode/CORP/entityId/1000706
2026-06-04,2026-06-04,Ambev S.A.,https://brazil.ratings.spglobal.com/ratings/pt/regulatory/org-details/sectorCode/CORP/entityId/1000591
2026-06-04,2026-06-04,Ambiental Ceara 1 SPE S.A.,https://brazil.ratings.spglobal.com/ratings/pt/regulatory/org-details/sectorCode/UTIL/entityId/1008221
2026-06-04,2026-06-04,Ambiental Ceara 2 SPE S.A.,https://brazil.ratings.spglobal.com/ratings/pt/regulatory/org-details/sectorCode/UTIL/entityId/1008222
2026-06-04,2026-06-04,Angelina Colombo Participacoes S.A.,https://brazil.ratings.spglobal.com/ratings/pt/regulatory/org-details/sectorCode/CORP/entityId/1000950
2026-06-04,2026-06-04,Arteris S.A.,https://brazil.ratings.spglobal.com/ratings/pt/regulatory/org-details/sectorCode/CORP/entityId/1000061
2026-06-04,2026-06-04,Artico Middle Corporate Fundo de Investimento em Direitos Creditorios,https://brazil.ratings.spglobal.com/ratings/pt/regulatory/org-details/sectorCode/STRUC - ABS/entityId/1008529
2026-06-04,2026-06-04,Asa Longo Prazo Fundo de Investimento em Cotas de Fundo De investimento em Direitos Creditórios Responsabilidade Limitada,https://brazil.ratings.spglobal.com/ratings/pt/regulatory/org-details/sectorCode/STRUC - ABS/entityId/1008491
2026-06-04,2026-06-04,Asa Longo Prazo II Fundo De Investimento Em Cotas De Fundo De Investimento Em Direitos Creditorios Responsabilidade Limitada,https://brazil.ratings.spglobal.com/ratings/pt/regulatory/org-details/sectorCode/STRUC - ABS/entityId/1008589
2026-06-04,2026-06-04,Atacadao S.A.,https://brazil.ratings.spglobal.com/ratings/pt/regulatory/org-details/sectorCode/CORP/entityId/1001009
2026-06-04,2026-06-04,Aura Almas Mineracao S.A.,https://brazil.ratings.spglobal.com/ratings/pt/regulatory/org-details/sectorCode/CORP/entityId/1000100
2026-06-04,2026-06-04,Aura Minerals Inc.,https://brazil.ratings.spglobal.com/ratings/pt/regulatory/org-details/sectorCode/CORP/entityId/1000481
2026-06-04,2026-06-04,Austral Resseguradora S.A.,https://brazil.ratings.spglobal.com/ratings/pt/regulatory/org-details/sectorCode/INS/entityId/1000584
